path,attribute,value
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,StudyDesign.id,InterventionalStudyDesign_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,StudyDesign.name,Study Design 1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,Used in,"['StudyDesignPopulation_1[POP1]', 'StudyCohort_1[COHORT1]']"
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,category,Inclusion Criteria
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,identifier,01
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,name,IN01
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,StudyDesign.id,InterventionalStudyDesign_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,StudyDesign.name,Study Design 1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,Used in,"['StudyDesignPopulation_1[POP1]', 'StudyCohort_1[COHORT1]', 'StudyCohort_2[COHORT2]']"
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,category,Inclusion Criteria
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,identifier,02
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,name,IN02
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,StudyDesign.id,ObservationalStudyDesign_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,StudyDesign.name,Study Design 2
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,Used in,"['StudyDesignPopulation_2[POP1]', 'StudyCohort_3[COHORT1]', 'StudyCohort_4[COHORT2]']"
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,category,Exclusion Criteria
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,identifier,30b
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,name,EX22
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,StudyDesign.id,ObservationalStudyDesign_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,StudyDesign.name,Study Design 2
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,Used in,"['StudyDesignPopulation_2[POP1]', 'StudyCohort_3[COHORT1]']"
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,category,Exclusion Criteria
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,identifier,31b
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001019\negative\01\results\unit-test-coreid-DDF00159-negative-1.json,name,EX23
