path,attribute,value
/AgentAdministration/0,$code_for_decode_pref_term,
/AgentAdministration/0,$code_for_decode_value,C64528
/AgentAdministration/0,$codelist_code,C71113
/AgentAdministration/0,$codelist_extensible,True
/AgentAdministration/0,$pref_term_for_code,Three Times Weekly
/AgentAdministration/0,$value_for_code,3 TIMES PER WEEK
/AgentAdministration/0,frequency.standardCode.code,C64528
/AgentAdministration/0,frequency.standardCode.codeSystem,http://www.cdisc.org
/AgentAdministration/0,frequency.standardCode.codeSystemVersion,2023-12-15
/AgentAdministration/0,frequency.standardCode.decode,3 Times Per Week
/AgentAdministration/0,id,AgentAdministration_1
/AgentAdministration/0,name,LY_ADMIN1
/AgentAdministration/0,parent_entity,StudyIntervention
/AgentAdministration/0,parent_id,StudyIntervention_1
/AgentAdministration/0,parent_rel,administrations
/AgentAdministration/1,$code_for_decode_pref_term,
/AgentAdministration/1,$code_for_decode_value,C71129
/AgentAdministration/1,$codelist_code,C71113
/AgentAdministration/1,$codelist_extensible,True
/AgentAdministration/1,$pref_term_for_code,
/AgentAdministration/1,$value_for_code,
/AgentAdministration/1,frequency.standardCode.code,C71129xx
/AgentAdministration/1,frequency.standardCode.codeSystem,http://www.cdisc.org
/AgentAdministration/1,frequency.standardCode.codeSystemVersion,2023-12-15
/AgentAdministration/1,frequency.standardCode.decode,BIM
/AgentAdministration/1,id,AgentAdministration_2
/AgentAdministration/1,name,LY_ADMIN2
/AgentAdministration/1,parent_entity,StudyIntervention
/AgentAdministration/1,parent_id,StudyIntervention_1
/AgentAdministration/1,parent_rel,administrations
/AgentAdministration/2,$code_for_decode_pref_term,
/AgentAdministration/2,$code_for_decode_value,C64508
/AgentAdministration/2,$codelist_code,C71113
/AgentAdministration/2,$codelist_extensible,True
/AgentAdministration/2,$pref_term_for_code,Every Eighteen Hours
/AgentAdministration/2,$value_for_code,Q18H
/AgentAdministration/2,frequency.standardCode.code,C64508
/AgentAdministration/2,frequency.standardCode.codeSystem,FREQ
/AgentAdministration/2,frequency.standardCode.codeSystemVersion,2023-12-15
/AgentAdministration/2,frequency.standardCode.decode,Q18H
/AgentAdministration/2,id,AgentAdministration_3
/AgentAdministration/2,name,LY_ADMIN3
/AgentAdministration/2,parent_entity,StudyIntervention
/AgentAdministration/2,parent_id,StudyIntervention_1
/AgentAdministration/2,parent_rel,administrations
/AgentAdministration/3,$code_for_decode_pref_term,
/AgentAdministration/3,$code_for_decode_value,
/AgentAdministration/3,$codelist_code,C71113
/AgentAdministration/3,$codelist_extensible,
/AgentAdministration/3,$pref_term_for_code,
/AgentAdministration/3,$value_for_code,
/AgentAdministration/3,frequency.standardCode.code,C64528
/AgentAdministration/3,frequency.standardCode.codeSystem,http://www.cdisc.org
/AgentAdministration/3,frequency.standardCode.codeSystemVersion,P59
/AgentAdministration/3,frequency.standardCode.decode,Three Times Weekly
/AgentAdministration/3,id,AgentAdministration_4
/AgentAdministration/3,name,LY_ADMIN4
/AgentAdministration/3,parent_entity,StudyIntervention
/AgentAdministration/3,parent_id,StudyIntervention_1
/AgentAdministration/3,parent_rel,administrations
/AgentAdministration/4,$code_for_decode_pref_term,C64525
/AgentAdministration/4,$code_for_decode_value,
/AgentAdministration/4,$codelist_code,C71113
/AgentAdministration/4,$codelist_extensible,True
/AgentAdministration/4,$pref_term_for_code,Twice Per Month
/AgentAdministration/4,$value_for_code,BIM
/AgentAdministration/4,frequency.standardCode.code,C71129
/AgentAdministration/4,frequency.standardCode.codeSystem,http://www.cdisc.org
/AgentAdministration/4,frequency.standardCode.codeSystemVersion,2023-12-15
/AgentAdministration/4,frequency.standardCode.decode,Every Other Day
/AgentAdministration/4,id,AgentAdministration_5
/AgentAdministration/4,name,LY_ADMIN5
/AgentAdministration/4,parent_entity,StudyIntervention
/AgentAdministration/4,parent_id,StudyIntervention_1
/AgentAdministration/4,parent_rel,administrations
/AgentAdministration/5,$code_for_decode_pref_term,C17998
/AgentAdministration/5,$code_for_decode_value,C17998
/AgentAdministration/5,$codelist_code,C71113
/AgentAdministration/5,$codelist_extensible,True
/AgentAdministration/5,$pref_term_for_code,
/AgentAdministration/5,$value_for_code,
/AgentAdministration/5,frequency.standardCode.code,C0006X
/AgentAdministration/5,frequency.standardCode.codeSystem,http://www.cdisc.org
/AgentAdministration/5,frequency.standardCode.codeSystemVersion,2024-09-27
/AgentAdministration/5,frequency.standardCode.decode,Unknown
/AgentAdministration/5,id,AgentAdministration_8
/AgentAdministration/5,name,IMG_ADMIN2
/AgentAdministration/5,parent_entity,StudyIntervention
/AgentAdministration/5,parent_id,StudyIntervention_2
/AgentAdministration/5,parent_rel,administrations
/AgentAdministration/6,$code_for_decode_pref_term,C64525
/AgentAdministration/6,$code_for_decode_value,
/AgentAdministration/6,$codelist_code,C71113
/AgentAdministration/6,$codelist_extensible,True
/AgentAdministration/6,$pref_term_for_code,Every Other Day
/AgentAdministration/6,$value_for_code,QOD
/AgentAdministration/6,frequency.standardCode.code,C64525
/AgentAdministration/6,frequency.standardCode.codeSystem,http://www.cdisc.org
/AgentAdministration/6,frequency.standardCode.codeSystemVersion,2024-03-29
/AgentAdministration/6,frequency.standardCode.decode,EVERY OTHER DAY
/AgentAdministration/6,id,AgentAdministration_9
/AgentAdministration/6,name,IMG_ADMIN3
/AgentAdministration/6,parent_entity,StudyIntervention
/AgentAdministration/6,parent_id,StudyIntervention_2
/AgentAdministration/6,parent_rel,administrations
