STUDYID,DOMAIN,SPTOBID,PDSEQ,PDPARMCD,PDPARM,PDVALTRG,PDVALMAX,PDVALU
TOB09,PD,VAPE-Z27,2,PUFCNT,Puff Count,311,310,
TOB09,PD,VAPE-Z27,3,CRTVOL,Cartridge Volume,3,2.9,mL
TOB09,PD,VAPE-Z27,4,HTELNUM,Number of Heating Elements,-1.1,-2.1,
TOB09,PD,VAPE-Z27,5,HTELGTH,Heating Element Length,3.4,3.3,mm
TOB09,PD,VAPE-Z27,9,HTELCFG,Heating Element Configuration,SPIRAL,SPIRAL,
TOB09,PD,VAPE-Z27,10,BTVLTORG,Battery Voltage Operating Range,4.5,4,V
TOB09,PD,VAPE-Z27,11,BTCRTORG,Battery Current Operating Range,1601,1600.99,mAh
TOB09,PD,VAPE-Z27,21,PDUVOR,PDU Voltage Operating Range,4.3,4.2,V
TOB09,PD,VAPE-Z27,22,PDUCOR,PDU Current Operating Range,YES,NO,
TOB09,PD,VAPE-Z27,23,PDUTCTOF,PDU Temperature Cut-off,70,69,C
TOB09,PD,VAPE-Z27,24,AIRFLRT,Airflow Rate,800,740,L/min
