parent_entity,parent_id,parent_rel,rel_type,id,code,codeSystem,codeSystemVersion,decode,instanceType
InterventionalStudyDesign,InterventionalStudyDesign_1,characteristics,definition,Code_157,C98704,http://www.cdisc.org,2025-09-26,Adaptive,Code
InterventionalStudyDesign,InterventionalStudyDesign_1,characteristics,definition,Code_158,C207613,http://www.cdisc.org,2025-09-26,Extension,Code
InterventionalStudyDesign,InterventionalStudyDesign_2,characteristics,definition,Code_683,C46079,http://www.cdisc.org,2025-09-26,Randomized,Code
InterventionalStudyDesign,InterventionalStudyDesign_2,characteristics,definition,Code_684,C217004,http://www.cdisc.org,2025-09-26,Single-Centre,Code
InterventionalStudyDesign,InterventionalStudyDesign_3,characteristics,definition,Code_866,C217005,http://www.cdisc.org,2025-09-26,Multicentre,Code
InterventionalStudyDesign,InterventionalStudyDesign_3,characteristics,definition,Code_867,C217006,http://www.cdisc.org,2025-09-26,Single Country,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,characteristics,definition,Code_1033,C217007,http://www.cdisc.org,2025-09-26,Multiple Countries,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,characteristics,definition,Code_1034,C25689,http://www.cdisc.org,2025-09-26,Stratification,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,characteristics,definition,Code_1035,C147145,http://www.cdisc.org,2025-09-26,Stratified Randomisation,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,characteristics,definition,Code_1036,C0043X,http://www.cdisc.org,2025-09-26,Extra,Code
ObservationalStudyDesign,ObservationalStudyDesign_2,characteristics,definition,Code_1037,C98704,http://www.cdisc.org,2025-09-26,Adaptive Design,Code
ObservationalStudyDesign,ObservationalStudyDesign_2,characteristics,definition,Code_1038,C207613,http://www.cdisc.org,2025-09-26,Extension Study Design,Code
ObservationalStudyDesign,ObservationalStudyDesign_2,characteristics,definition,Code_1039,C46079,http://www.cdisc.org,2025-09-26,Randomized Controlled Clinical Trial,Code
ObservationalStudyDesign,ObservationalStudyDesign_2,characteristics,definition,Code_1040,C217004,http://www.cdisc.org,2025-09-26,Single-Center Study,Code
ObservationalStudyDesign,ObservationalStudyDesign_2,characteristics,definition,Code_1041,C217005,http://www.cdisc.org,2025-09-26,Multicenter Study,Code
ObservationalStudyDesign,ObservationalStudyDesign_2,characteristics,definition,Code_1042,C147145,http://www.cdisc.org,2025-09-26,Stratified Randomization,Code
InterventionalStudyDesign,InterventionalStudyDesign_1,intentTypes,definition,Code_2152,C15714,http://www.cdisc.org,2023-12-15,BASIC SCIENCE,Code
InterventionalStudyDesign,InterventionalStudyDesign_2,intentTypes,definition,Code_2156,C170629,http://www.cdisc.org,2024-03-29,DISEASE MODIFYING,Code
InterventionalStudyDesign,InterventionalStudyDesign_3,intentTypes,definition,Code_2160,C71485,http://www.cdisc.org,2024-09-27,SCREENING,Code
InterventionalStudyDesign,InterventionalStudyDesign_1,model,definition,Code_156,C82639,http://www.cdisc.org,2024-09-27,Parallel Study,Code
InterventionalStudyDesign,InterventionalStudyDesign_2,model,definition,Code_843,C82640,http://www.cdisc.org,2024-09-27,SINGLE GROUP,Code
InterventionalStudyDesign,InterventionalStudyDesign_3,model,definition,Code_1026,C82640,http://www.cdisc.org,2024-09-27,SINGLE GROUP,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,model,definition,Code_1193,C15208,http://www.cdisc.org,2024-09-27,COHORT,Code
InterventionalStudyDesign,InterventionalStudyDesign_1,studyType,definition,Code_159,C98388,http://www.cdisc.org,2024-09-27,Interventional Study,Code
InterventionalStudyDesign,InterventionalStudyDesign_2,studyType,definition,Code_679,C98388,http://www.cdisc.org,2024-09-27,Interventional Study,Code
InterventionalStudyDesign,InterventionalStudyDesign_3,studyType,definition,Code_862,C98388,http://www.cdisc.org,2024-09-27,Interventional Study,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,studyType,definition,Code_1029,C16084,http://www.cdisc.org,2024-09-27,OBSERVATIONAL,Code
InterventionalStudyDesign,InterventionalStudyDesign_1,subTypes,definition,Code_3153,C158283,http://www.cdisc.org,2023-12-15,ADHESION PERFORMANCE,Code
InterventionalStudyDesign,InterventionalStudyDesign_1,subTypes,definition,Code_3154,C158284,http://www.cdisc.org,2023-12-15,ALCOHOL EFFECT,Code
InterventionalStudyDesign,InterventionalStudyDesign_2,subTypes,definition,Code_3162,C127803,http://www.cdisc.org,2023-12-15,DOSE RESPONSE,Code
InterventionalStudyDesign,InterventionalStudyDesign_2,subTypes,definition,Code_3163,C158286,http://www.cdisc.org,2024-03-29,DRUG-DRUG INTERACTION,Code
InterventionalStudyDesign,InterventionalStudyDesign_3,subTypes,definition,Code_3173,C49663,http://www.cdisc.org,2024-09-27,PHARMACOKINETIC,Code
InterventionalStudyDesign,InterventionalStudyDesign_3,subTypes,definition,Code_3174,C161477,http://www.cdisc.org,2024-09-27,POSITION EFFECT,Code
InterventionalStudyDesign,InterventionalStudyDesign_1,therapeuticAreas,definition,Code_149,MILD_MOD_ALZ,SPONSOR,12,Mild to Moderate Alzheimer's Disease,Code
InterventionalStudyDesign,InterventionalStudyDesign_1,therapeuticAreas,definition,Code_150,26929004,SNOMED,"January 31, 2018",Alzheimer's disease,Code
InterventionalStudyDesign,InterventionalStudyDesign_2,therapeuticAreas,definition,Code_681,MILD_MOD_ALZ,SPONSOR,12,Mild to Moderate Alzheimer's Disease,Code
InterventionalStudyDesign,InterventionalStudyDesign_2,therapeuticAreas,definition,Code_682,26929004,SNOMED,"January 31, 2018",Alzheimer's disease,Code
InterventionalStudyDesign,InterventionalStudyDesign_3,therapeuticAreas,definition,Code_864,MILD_MOD_ALZ,SPONSOR,12,Mild to Moderate Alzheimer's Disease,Code
InterventionalStudyDesign,InterventionalStudyDesign_3,therapeuticAreas,definition,Code_865,26929004,SNOMED,"January 31, 2018",Alzheimer's disease,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,therapeuticAreas,definition,Code_1031,MILD_MOD_ALZ,SPONSOR,12,Mild to Moderate Alzheimer's Disease,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,therapeuticAreas,definition,Code_1032,26929004,SNOMED,"January 31, 2018",Alzheimer's disease,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,timePerspective,definition,Code_1195,C15273,http://www.cdisc.org,2024-09-27,PROSPECTIVE,Code
