path,attribute,value
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,StudyDefinitionDocument.id,StudyDefinitionDocument_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,StudyDefinitionDocument.name,Protocol_Document_CDISC PILOT - LZZT
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,StudyDefinitionDocumentVersion.id,StudyDefinitionDocumentVersion_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,StudyDefinitionDocumentVersion.version,2
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,name,NC_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,sectionNumber,0
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,sectionTitle,Title Page
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,StudyDefinitionDocument.id,StudyDefinitionDocument_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,StudyDefinitionDocument.name,Protocol_Document_CDISC PILOT - LZZT
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,StudyDefinitionDocumentVersion.id,StudyDefinitionDocumentVersion_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,StudyDefinitionDocumentVersion.version,2
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,name,NC_3
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,sectionNumber,2
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,sectionTitle,Objectives
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,StudyDefinitionDocument.id,StudyDefinitionDocument_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,StudyDefinitionDocument.name,Protocol_Document_CDISC PILOT - LZZT
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,StudyDefinitionDocumentVersion.id,StudyDefinitionDocumentVersion_3
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,StudyDefinitionDocumentVersion.version,3
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,name,NC_62
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,sectionNumber,5
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,sectionTitle,"Informed Consent, Ethical Review, and Regulatory Considerations"
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,StudyDefinitionDocument.id,StudyDefinitionDocument_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,StudyDefinitionDocument.name,Protocol_Document_CDISC PILOT - LZZT
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,StudyDefinitionDocumentVersion.id,StudyDefinitionDocumentVersion_3
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,StudyDefinitionDocumentVersion.version,3
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,name,NC_75
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,sectionNumber,Appendix 9
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,sectionTitle,Protocol Attachment LZZT.9. TTS Acceptability Survey
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,StudyDefinitionDocument.id,StudyDefinitionDocument_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,StudyDefinitionDocument.name,Protocol_Document_CDISC PILOT - LZZT
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,StudyDefinitionDocumentVersion.id,StudyDefinitionDocumentVersion_3
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,StudyDefinitionDocumentVersion.version,3
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001051\negative\01\results\unit-test-coreid-DDF00163-negative-1.json,name,NC_76
