parent_entity,parent_id,parent_rel,rel_type,id,code,codeSystem,codeSystemVersion,decode,instanceType
StudyDesign,StudyDesign_1,characteristics,definition,Code_143,C98704,http://www.cdisc.org,2024-09-27,Adaptive,Code
StudyDesign,StudyDesign_1,characteristics,definition,Code_144,C207613,http://www.cdisc.org,2024-09-27,Extension,Code
StudyDesign,StudyDesign_1,characteristics,definition,Code_145,C46079,http://www.cdisc.org,2024-09-27,Randomized,Code
StudyDesign,StudyDesign_1,characteristics,definition,Code_146,C217004,http://www.cdisc.org,2025-09-26,Single-Centre,Code
StudyDesign,StudyDesign_2,characteristics,definition,Code_147,C217005,http://www.cdisc.org,2025-09-26,Multicentre,Code
StudyDesign,StudyDesign_2,characteristics,definition,Code_148,C217006,http://www.cdisc.org,2025-09-26,Single Country,Code
StudyDesign,StudyDesign_2,characteristics,definition,Code_149,C217007,http://www.cdisc.org,2025-09-26,Multiple Countries,Code
StudyDesign,StudyDesign_2,characteristics,definition,Code_150,C25689,http://www.cdisc.org,2025-09-26,Stratification,Code
StudyDesign,StudyDesign_2,characteristics,definition,Code_151,C147145,http://www.cdisc.org,2025-09-26,Stratified Randomisation,Code
StudyDesign,StudyDesign_2,characteristics,definition,Code_152,C0013X,http://www.cdisc.org,2024-09-27,Extensibility,Code
StudyDesign,StudyDesign_3,characteristics,definition,Code_153,C98704,http://www.cdisc.org,2024-09-27,Adaptive Design,Code
StudyDesign,StudyDesign_3,characteristics,definition,Code_154,C207613,http://www.cdisc.org,2024-09-27,Extension Study Design,Code
StudyDesign,StudyDesign_3,characteristics,definition,Code_155,C46079,http://www.cdisc.org,2024-09-27,Randomized Controlled Clinical Trial,Code
StudyDesign,StudyDesign_3,characteristics,definition,Code_156,C217004,http://www.cdisc.org,2025-09-26,Single-Center Study,Code
StudyDesign,StudyDesign_3,characteristics,definition,Code_157,C217005,http://www.cdisc.org,2025-09-26,Multicenter Study,Code
StudyDesign,StudyDesign_3,characteristics,definition,Code_161,C147145,http://www.cdisc.org,2025-09-26,Stratified Randomization,Code
