path,attribute,value
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000944\negative\01\results\unit-test-coreid-DDF00168-negative-1.json,StudyDefinitionDocument.id,StudyDefinitionDocument_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000944\negative\01\results\unit-test-coreid-DDF00168-negative-1.json,StudyDefinitionDocument.name,Protocol_Document_ALXN1840-WD-204
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000944\negative\01\results\unit-test-coreid-DDF00168-negative-1.json,StudyDefinitionDocumentVersion.id,StudyDefinitionDocumentVersion_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000944\negative\01\results\unit-test-coreid-DDF00168-negative-1.json,StudyDefinitionDocumentVersion.version,3.1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000944\negative\01\results\unit-test-coreid-DDF00168-negative-1.json,contentItemId,XXXX
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000944\negative\01\results\unit-test-coreid-DDF00168-negative-1.json,name,NC_3
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000944\negative\01\results\unit-test-coreid-DDF00168-negative-1.json,sectionNumber,1.1.
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000944\negative\01\results\unit-test-coreid-DDF00168-negative-1.json,StudyDefinitionDocument.id,StudyDefinitionDocument_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000944\negative\01\results\unit-test-coreid-DDF00168-negative-1.json,StudyDefinitionDocument.name,Protocol_Document_ALXN1840-WD-204
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000944\negative\01\results\unit-test-coreid-DDF00168-negative-1.json,StudyDefinitionDocumentVersion.id,StudyDefinitionDocumentVersion_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000944\negative\01\results\unit-test-coreid-DDF00168-negative-1.json,StudyDefinitionDocumentVersion.version,3.1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000944\negative\01\results\unit-test-coreid-DDF00168-negative-1.json,contentItemId,YYYY
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000944\negative\01\results\unit-test-coreid-DDF00168-negative-1.json,name,NC_5
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000944\negative\01\results\unit-test-coreid-DDF00168-negative-1.json,sectionNumber,1.3.
