Path,Attribute,Value
,bcCategoryIds,False
,bcSurrogateIds,False
,biomedicalConceptIds,Not in dataset
,childIds,False
,definedProcedures,Not in dataset
,id,Activity_982
,name,A982
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,null
,bcCategoryIds,False
,bcSurrogateIds,False
,biomedicalConceptIds,Not in dataset
,childIds,null
,definedProcedures,Not in dataset
,id,Activity_983
,name,A983
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,null
,bcCategoryIds,null
,bcSurrogateIds,False
,biomedicalConceptIds,Not in dataset
,childIds,False
,definedProcedures,Not in dataset
,id,Activity_986
,name,A986
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,null
,bcCategoryIds,null
,bcSurrogateIds,False
,biomedicalConceptIds,Not in dataset
,childIds,null
,definedProcedures,Not in dataset
,id,Activity_987
,name,A987
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,null
,bcCategoryIds,False
,bcSurrogateIds,null
,biomedicalConceptIds,Not in dataset
,childIds,False
,definedProcedures,Not in dataset
,id,Activity_998
,name,A998
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,null
,bcCategoryIds,False
,bcSurrogateIds,null
,biomedicalConceptIds,Not in dataset
,childIds,null
,definedProcedures,Not in dataset
,id,Activity_999
,name,A999
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,null
,bcCategoryIds,null
,bcSurrogateIds,null
,biomedicalConceptIds,Not in dataset
,childIds,False
,definedProcedures,Not in dataset
,id,Activity_1002
,name,A1002
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,null
,bcCategoryIds,null
,bcSurrogateIds,null
,biomedicalConceptIds,Not in dataset
,childIds,null
,definedProcedures,Not in dataset
,id,Activity_1003
,name,A1003
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,null
