Path,Attribute,Value
,bcCategoryIds,False
,bcSurrogateIds,False
,biomedicalConceptIds,False
,childIds,Not in dataset
,definedProcedures,False
,id,Activity_344
,name,A344
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,Not in dataset
,bcCategoryIds,null
,bcSurrogateIds,False
,biomedicalConceptIds,False
,childIds,Not in dataset
,definedProcedures,False
,id,Activity_348
,name,A348
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,Not in dataset
,bcCategoryIds,False
,bcSurrogateIds,null
,biomedicalConceptIds,False
,childIds,Not in dataset
,definedProcedures,False
,id,Activity_360
,name,A360
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,Not in dataset
,bcCategoryIds,null
,bcSurrogateIds,null
,biomedicalConceptIds,False
,childIds,Not in dataset
,definedProcedures,False
,id,Activity_364
,name,A364
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,Not in dataset
,bcCategoryIds,False
,bcSurrogateIds,False
,biomedicalConceptIds,null
,childIds,Not in dataset
,definedProcedures,False
,id,Activity_408
,name,A408
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,Not in dataset
,bcCategoryIds,null
,bcSurrogateIds,False
,biomedicalConceptIds,null
,childIds,Not in dataset
,definedProcedures,False
,id,Activity_412
,name,A412
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,Not in dataset
,bcCategoryIds,False
,bcSurrogateIds,null
,biomedicalConceptIds,null
,childIds,Not in dataset
,definedProcedures,False
,id,Activity_424
,name,A424
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,Not in dataset
,bcCategoryIds,null
,bcSurrogateIds,null
,biomedicalConceptIds,null
,childIds,Not in dataset
,definedProcedures,False
,id,Activity_428
,name,A428
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,Not in dataset
,bcCategoryIds,False
,bcSurrogateIds,False
,biomedicalConceptIds,False
,childIds,Not in dataset
,definedProcedures,null
,id,Activity_600
,name,A600
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,Not in dataset
,bcCategoryIds,null
,bcSurrogateIds,False
,biomedicalConceptIds,False
,childIds,Not in dataset
,definedProcedures,null
,id,Activity_604
,name,A604
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,Not in dataset
,bcCategoryIds,False
,bcSurrogateIds,null
,biomedicalConceptIds,False
,childIds,Not in dataset
,definedProcedures,null
,id,Activity_616
,name,A616
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,Not in dataset
,bcCategoryIds,null
,bcSurrogateIds,null
,biomedicalConceptIds,False
,childIds,Not in dataset
,definedProcedures,null
,id,Activity_620
,name,A620
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,Not in dataset
,bcCategoryIds,False
,bcSurrogateIds,False
,biomedicalConceptIds,null
,childIds,Not in dataset
,definedProcedures,null
,id,Activity_664
,name,A664
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,Not in dataset
,bcCategoryIds,null
,bcSurrogateIds,False
,biomedicalConceptIds,null
,childIds,Not in dataset
,definedProcedures,null
,id,Activity_668
,name,A668
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,Not in dataset
,bcCategoryIds,False
,bcSurrogateIds,null
,biomedicalConceptIds,null
,childIds,Not in dataset
,definedProcedures,null
,id,Activity_680
,name,A680
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,Not in dataset
,bcCategoryIds,null
,bcSurrogateIds,null
,biomedicalConceptIds,null
,childIds,Not in dataset
,definedProcedures,null
,id,Activity_684
,name,A684
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,Not in dataset
