dataset,variable,label,type,length
ex,STUDYID ,Study Identifier,Char,10
ex,DOMAIN ,Domain Abbreviation,Char,2
ex,USUBJID,Unique Subject Identifier ,Char,20
ex,EXSEQ ,Sequence Number,Num,8
ex,EXTRT,Name of Actual Treatment ,Char,20
ex,EXDOSE,Dose per Administration ,Num,8
ex,EXDOSU,Dose Units ,Char,20
ex,EXDOSFRM,Dose Form ,Char,20
ex,EXDOSFRQ,Dosing Frequency Per Interval ,Char,20
ex,EXROUTE,Route of Administration ,Char,20
ex,EXLOT,Lot Number ,Char,20
ex,RPHASE,Reproductive Phase ,Char,20
ex,RPPLDY,Planned Repro Phase Day,Num,8
ex,RPPLSTDY,Planned Repro Phase Day of Obs Start ,Num,8
ex,RPPLENDY,Planned Repro Phase Day of Obs End ,Num,8
ex,EXRPDY,Actual Repro Phase Day of Observation ,Num,8
ex,EXRPSTDY,Actual Repro Phase Day of Obs Start,Num,8
ex,EXRPENDY,Actual Repro Phase Day of Obs End,Num,8
ex,EXSTDTC,Start Date/Time of Treatment ,Char,20
lb,STUDYID ,Study Identifier,Char,10
lb,DOMAIN ,Domain Abbreviation,Char,2
lb,USUBJID,Unique Subject Identifier ,Char,20
lb,LBSEQ ,Sequence Number,Num,8
lb,LBTESTCD,Lab Test or Examination Short Name ,Char,8
lb,LBTEST,Lab Test or Examination Name ,Char,40
lb,LBORRES,Result or Findings as Collected ,Char,20
lb,RPHASE,Reproductive Phase ,Char,20
lb,RPPLDY,Planned Repro Phase Day,Num,8
lb,RPPLSTDY,Planned Repro Phase Day of Obs Start ,Num,8
lb,RPPLENDY,Planned Repro Phase Day of Obs End ,Num,8
lb,LBRPDY,Actual Repro Phase Day of Observation ,Num,8
lb,LBRPSTDY,Actual Repro Phase Day of Obs Start,Num,8
lb,LBRPENDY,Actual Repro Phase Day of Obs End,Num,8
lb,LBSTDTC,Start Date/Time of Treatment ,Char,20
ds,STUDYID ,Study Identifier,Char,10
ds,DOMAIN ,Domain Abbreviation,Char,2
ds,USUBJID,Unique Subject Identifier ,Char,20
ds,DSSEQ ,Sequence Number,Num,8
ds,DSTERM,Reported Term for the Disposition Event ,Char,100
ds,RPHASE,Reproductive Phase ,Char,20
ds,RPPLDY,Planned Repro Phase Day,Num,8
ds,RPPLSTDY,Planned Repro Phase Day of Obs Start ,Num,8
ds,RPPLENDY,Planned Repro Phase Day of Obs End ,Num,8
ds,DSRPDY,Actual Repro Phase Day of Observation ,Num,8
ds,DSRPSTDY,Actual Repro Phase Day of Obs Start,Num,8
ds,DSRPENDY,Actual Repro Phase Day of Obs End,Num,8
ds,DSSTDTC,Start Date/Time of Treatment ,Char,20
