path,attribute,value
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000962\negative\02\results\unit-test-coreid-DDF00132-negative-2.json,StudyDesign.id,InterventionalStudyDesign_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000962\negative\02\results\unit-test-coreid-DDF00132-negative-2.json,StudyDesign.name,Main Design
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000962\negative\02\results\unit-test-coreid-DDF00132-negative-2.json,cohorts.name,"[StudyCohort_1: COHORT1, StudyCohort_2: COHORT2]"
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000962\negative\02\results\unit-test-coreid-DDF00132-negative-2.json,cohorts.plannedCompletionNumber(value/range),"[StudyCohort_1: 10, StudyCohort_2: null]"
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000962\negative\02\results\unit-test-coreid-DDF00132-negative-2.json,cohorts.plannedCompletionNumber.id,"[StudyCohort_1: Quantity_10, StudyCohort_2: ]"
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000962\negative\02\results\unit-test-coreid-DDF00132-negative-2.json,name,POP1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000962\negative\02\results\unit-test-coreid-DDF00132-negative-2.json,plannedCompletionNumber(value/range),10
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000962\negative\02\results\unit-test-coreid-DDF00132-negative-2.json,plannedCompletionNumber.id,Quantity_101
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000962\negative\02\results\unit-test-coreid-DDF00132-negative-2.json,StudyDesign.id,InterventionalStudyDesign_2
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000962\negative\02\results\unit-test-coreid-DDF00132-negative-2.json,StudyDesign.name,Second Design
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000962\negative\02\results\unit-test-coreid-DDF00132-negative-2.json,cohorts.name,"[StudyCohort_3: COHORT3, StudyCohort_4: COHORT4]"
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000962\negative\02\results\unit-test-coreid-DDF00132-negative-2.json,cohorts.plannedCompletionNumber(value/range),"[StudyCohort_3: 20, StudyCohort_4: Missing]"
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000962\negative\02\results\unit-test-coreid-DDF00132-negative-2.json,cohorts.plannedCompletionNumber.id,"[StudyCohort_3: Quantity_102, StudyCohort_4: ]"
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000962\negative\02\results\unit-test-coreid-DDF00132-negative-2.json,name,POP2
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000962\negative\02\results\unit-test-coreid-DDF00132-negative-2.json,plannedCompletionNumber(value/range),15
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000962\negative\02\results\unit-test-coreid-DDF00132-negative-2.json,plannedCompletionNumber.id,Quantity_1012
