parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,defaultConditionId,epochId,timelineId,timelineExitId,instanceType,activityIds,encounterId
ScheduleTimeline,ScheduleTimeline_4,instances,definition,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_1,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_2,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_3,relativeFromScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_3,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_4,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_5,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_6,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_7,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_9,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_11,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_13,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_15,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_16,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
ScheduledActivityInstance,ScheduledActivityInstance_10,defaultConditionId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
