Dataset,Record,Variable,Value
TO,3,$distinct_pdparmcd,"['LENGTHS', 'TBFLMASS', 'MOISTURE', 'TOCUTSIZ', 'VENTLTOT', 'TPNPLGTH', 'CPBPOR', 'FLTRLGTH', 'FLTPRDRP', 'CIGPLGTH']"
TO,3,SPTOBID,CIG01a
TO,3,TOPARMCD,TRADENAM
TO,4,$distinct_pdparmcd,"['LENGTHS', 'TBFLMASS', 'MOISTURE', 'TOCUTSIZ', 'VENTLTOT', 'TPNPLGTH', 'CPBPOR', 'FLTRLGTH', 'FLTPRDRP', 'CIGPLGTH']"
TO,4,SPTOBID,CIG01a
TO,4,TOPARMCD,PACKTYP
TO,5,$distinct_pdparmcd,"['LENGTHS', 'TBFLMASS', 'MOISTURE', 'TOCUTSIZ', 'VENTLTOT', 'TPNPLGTH', 'CPBPOR', 'FLTRLGTH', 'FLTPRDRP', 'CIGPLGTH']"
TO,5,SPTOBID,CIG01a
TO,5,TOPARMCD,PRDQUAN
TO,6,$distinct_pdparmcd,"['LENGTHS', 'TBFLMASS', 'MOISTURE', 'TOCUTSIZ', 'VENTLTOT', 'TPNPLGTH', 'CPBPOR', 'FLTRLGTH', 'FLTPRDRP', 'CIGPLGTH']"
TO,6,SPTOBID,CIG01a
TO,6,TOPARMCD,LENGTH
TO,7,$distinct_pdparmcd,['CIRCUM']
TO,7,SPTOBID,CIG02a
TO,7,TOPARMCD,CIRCUMF
TO,8,$distinct_pdparmcd,['CIRCUM']
TO,8,SPTOBID,CIG02a
TO,8,TOPARMCD,VENTLTOT
TO,9,$distinct_pdparmcd,['CIRCUM']
TO,9,SPTOBID,CIG02a
TO,9,TOPARMCD,CHARFLAV
