STUDYID,DOMAIN,SETCD,SET,TXSEQ,TXPARMCD,TXPARM,TXVAL
8325064,TX,SetG,G-TA98-C1600,46,IVTDMIN,In vitro Treatment Duration Minimum,71.5
8325064,TX,SetG,G-TA98-C1600,47,IVTDTRG,In vitro Treatment Duration Target,72
8325064,TX,SetG,G-TA98-C1600,48,IVTDMAX,In vitro Treatment Duration Maximum,72.5
8325064,TX,SetG,G-TA98-C1600,49,IVTDU,In vitro Treatment Duration Unit,HOURS
8325064,TX,SetG,G-TA98-C1600,50,INCBTMP,Incubation Temperature,37
8325064,TX,SetG,G-TA98-C1600,51,INCBTMPU,Incubation Temperature Unit,C
8325064,TX,SetG,G-TA98-C1600,52,ATMRHP,Atmospheric Relative Humidity Percent,50
8325064,TX,SetG,G-TA98-C1600,53,ATMCO2P,Atmospheric CO2 Percent,5
8325064,TX,SetG,G-TA98-C1600,54,SPTOBID,Applicant-defined tobacco identifier,CIG01a
8325064,TX,SetG,G-TA98-C1600,55,EXPTYP,Exposure Type,Submerged
8325064,TX,SetG,G-TA98-C1600,56,SAMTYP,Sample Type,Total Particulate Matter in PBS
8325064,TX,SetG,G-TA98-C1600,57,APDEVID,Applicant-defined device identifier,PUFFMASTER3K
8325064,TX,SetG,G-TA98-C1600,58,SMKRGM,Smoking Regimen,NON-INTENSE REGIMEN
8325064,TX,SetG,G-TA98-C1600,81,STRAIN,Strain/Substrain,
