parent_entity,parent_id,parent_rel,rel_type,id,instanceType,armId,epochId,elementIds
StudyDesign,StudyDesign_2,studyCells,definition,StudyCell_1,StudyCell,StudyArm_1,StudyEpoch_1,True
StudyDesign,StudyDesign_2,studyCells,definition,StudyCell_2,StudyCell,StudyArm_1,StudyEpoch_2,True
StudyDesign,StudyDesign_2,studyCells,definition,StudyCell_3,StudyCell,StudyArm_1,StudyEpoch_3,True
StudyDesign,StudyDesign_2,studyCells,definition,StudyCell_4,StudyCell,StudyArm_1,StudyEpoch_4,True
StudyDesign,StudyDesign_2,studyCells,definition,StudyCell_5,StudyCell,StudyArm_1,StudyEpoch_5,True
StudyDesign,StudyDesign_2,studyCells,definition,StudyCell_6,StudyCell,StudyArm_2,StudyEpoch_1,True
StudyDesign,StudyDesign_2,studyCells,definition,StudyCell_7,StudyCell,StudyArm_2,StudyEpoch_2,True
StudyDesign,StudyDesign_2,studyCells,definition,StudyCell_8,StudyCell,StudyArm_2,StudyEpoch_3,True
StudyDesign,StudyDesign_2,studyCells,definition,StudyCell_9,StudyCell,StudyArm_2,StudyEpoch_4,True
StudyDesign,StudyDesign_2,studyCells,definition,StudyCell_10,StudyCell,StudyArm_2,StudyEpoch_5,True
