parent_entity,parent_id,parent_rel,rel_type,id,code,codeSystem,codeSystemVersion,decode,instanceType
InterventionalStudyDesign,InterventionalStudyDesign_1,subTypes,definition,Code_3153,C158283,http://www.cdisc.org,2023-12-15,ADHESION PERFORMANCE,Code
InterventionalStudyDesign,InterventionalStudyDesign_1,subTypes,definition,Code_3154,C158284,http://www.cdisc.org,2023-12-15,ALCOHOL EFFECT,Code
InterventionalStudyDesign,InterventionalStudyDesign_1,subTypes,definition,Code_3155,C49664,http://www.cdisc.org,2023-12-15,BIO-AVAILABILITY,Code
InterventionalStudyDesign,InterventionalStudyDesign_1,subTypes,definition,Code_3156,C49665,http://www.cdisc.org,2023-12-15,BIO-EQUIVALENCE,Code
InterventionalStudyDesign,InterventionalStudyDesign_1,subTypes,definition,Code_3157,C158288,http://www.cdisc.org,2023-12-15,BIOSIMILARITY,Code
InterventionalStudyDesign,InterventionalStudyDesign_1,subTypes,definition,Code_3158,C158285,http://www.cdisc.org,2023-12-15,DEVICE-DRUG INTERACTION,Code
InterventionalStudyDesign,InterventionalStudyDesign_1,subTypes,definition,Code_3159,C49653,http://www.cdisc.org,2023-12-15,DIAGNOSIS,Code
InterventionalStudyDesign,InterventionalStudyDesign_1,subTypes,definition,Code_3160,C158289,http://www.cdisc.org,2023-12-15,DOSE FINDING,Code
InterventionalStudyDesign,InterventionalStudyDesign_1,subTypes,definition,Code_3161,C158290,http://www.cdisc.org,2023-12-15,DOSE PROPORTIONALITY,Code
InterventionalStudyDesign,InterventionalStudyDesign_2,subTypes,definition,Code_3162,C127803,http://www.cdisc.org,2023-12-15,DOSE RESPONSE,Code
InterventionalStudyDesign,InterventionalStudyDesign_2,subTypes,definition,Code_3163,C158286,http://www.cdisc.org,2024-03-29,DRUG-DRUG INTERACTION,Code
InterventionalStudyDesign,InterventionalStudyDesign_2,subTypes,definition,Code_3164,C178057,http://www.cdisc.org,2024-03-29,ECG,Code
InterventionalStudyDesign,InterventionalStudyDesign_2,subTypes,definition,Code_3165,C49666,http://www.cdisc.org,2024-03-29,EFFICACY,Code
InterventionalStudyDesign,InterventionalStudyDesign_2,subTypes,definition,Code_3166,C98729,http://www.cdisc.org,2024-03-29,FOOD EFFECT,Code
InterventionalStudyDesign,InterventionalStudyDesign_2,subTypes,definition,Code_3167,C120842,http://www.cdisc.org,2024-03-29,IMMUNOGENICITY,Code
