path,attribute,value
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000810\negative\14\results\unit-test-coreid-DDF00075-negative-14.json,parent_entity,StudyDesign
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000810\negative\14\results\unit-test-coreid-DDF00075-negative-14.json,name,Activity 1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000810\negative\14\results\unit-test-coreid-DDF00075-negative-14.json,parent_id,StudyDesign_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000810\negative\14\results\unit-test-coreid-DDF00075-negative-14.json,id,Activity_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000810\negative\14\results\unit-test-coreid-DDF00075-negative-14.json,bcSurrogateIds,False
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000810\negative\14\results\unit-test-coreid-DDF00075-negative-14.json,parent_rel,activities
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000810\negative\14\results\unit-test-coreid-DDF00075-negative-14.json,biomedicalConceptIds,Not in dataset
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000810\negative\14\results\unit-test-coreid-DDF00075-negative-14.json,bcCategoryIds,Not in dataset
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000810\negative\14\results\unit-test-coreid-DDF00075-negative-14.json,definedProcedures,Not in dataset
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000810\negative\14\results\unit-test-coreid-DDF00075-negative-14.json,parent_entity,StudyDesign
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000810\negative\14\results\unit-test-coreid-DDF00075-negative-14.json,name,Activity 2
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000810\negative\14\results\unit-test-coreid-DDF00075-negative-14.json,parent_id,StudyDesign_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000810\negative\14\results\unit-test-coreid-DDF00075-negative-14.json,id,Activity_2
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000810\negative\14\results\unit-test-coreid-DDF00075-negative-14.json,bcSurrogateIds,
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000810\negative\14\results\unit-test-coreid-DDF00075-negative-14.json,parent_rel,activities
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000810\negative\14\results\unit-test-coreid-DDF00075-negative-14.json,biomedicalConceptIds,Not in dataset
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000810\negative\14\results\unit-test-coreid-DDF00075-negative-14.json,bcCategoryIds,Not in dataset
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-000810\negative\14\results\unit-test-coreid-DDF00075-negative-14.json,definedProcedures,Not in dataset
