Path,Attribute,Value
/study/versions/0/studyDesigns/1/scheduleTimelines/0/instances/0,Referenced epoch's parent StudyDesign.id,InterventionalStudyDesign_1
/study/versions/0/studyDesigns/1/scheduleTimelines/0/instances/0,StudyDesign.id,InterventionalStudyDesign_2
/study/versions/0/studyDesigns/1/scheduleTimelines/0/instances/0,StudyDesign.name,Study Design 1
/study/versions/0/studyDesigns/1/scheduleTimelines/0/instances/0,epochId,StudyEpoch_2
/study/versions/0/studyDesigns/1/scheduleTimelines/0/instances/0,name,SCREEN1
/study/versions/0/studyDesigns/1/scheduleTimelines/0/instances/16,Referenced epoch's parent StudyDesign.id,[Invalid epochId]
/study/versions/0/studyDesigns/1/scheduleTimelines/0/instances/16,StudyDesign.id,InterventionalStudyDesign_2
/study/versions/0/studyDesigns/1/scheduleTimelines/0/instances/16,StudyDesign.name,Study Design 1
/study/versions/0/studyDesigns/1/scheduleTimelines/0/instances/16,epochId,StudyEpoch_xx
/study/versions/0/studyDesigns/1/scheduleTimelines/0/instances/16,name,DOWK2
