Dataset,Record,Variable,Value
TS.csv,1,TSPARMCD,DOSDUR
TS.csv,1,TSVAL,two weeks
TS.csv,3,TSPARMCD,EXPSTDTC
TS.csv,3,TSVAL,first day of year
TS.csv,4,TSPARMCD,STSTDTC
TS.csv,4,TSVAL,very first day of year
TS.csv,5,TSPARMCD,TRMSAC
TS.csv,5,TSVAL,28 days 5 hours
TS.csv,6,TSPARMCD,DOSENDTC
TS.csv,6,TSVAL,Mid february
TS.csv,7,TSPARMCD,DOSSTDTC
TS.csv,7,TSVAL,first day of year
TS.csv,8,TSPARMCD,INTSAC
TS.csv,8,TSVAL,14 days
TS.csv,9,TSPARMCD,SLENGTH
TS.csv,9,TSVAL,4 weeks
TS.csv,10,TSPARMCD,RECSAC
TS.csv,10,TSVAL,35 days
TS.csv,11,TSPARMCD,STENDTC
TS.csv,11,TSVAL,mid february
