Dataset,Record,Variable,Value
TS.xpt,1,TSPARMCD,DOSDUR
TS.xpt,1,TSVAL,two weeks
TS.xpt,3,TSPARMCD,EXPSTDTC
TS.xpt,3,TSVAL,first day of year
TS.xpt,4,TSPARMCD,STSTDTC
TS.xpt,4,TSVAL,very first day of year
TS.xpt,5,TSPARMCD,TRMSAC
TS.xpt,5,TSVAL,28 days 5 hours
TS.xpt,6,TSPARMCD,DOSENDTC
TS.xpt,6,TSVAL,Mid february
TS.xpt,7,TSPARMCD,DOSSTDTC
TS.xpt,7,TSVAL,first day of year
TS.xpt,8,TSPARMCD,INTSAC
TS.xpt,8,TSVAL,14 days
TS.xpt,9,TSPARMCD,SLENGTH
TS.xpt,9,TSVAL,4 weeks
TS.xpt,10,TSPARMCD,RECSAC
TS.xpt,10,TSVAL,35 days
TS.xpt,11,TSPARMCD,STENDTC
TS.xpt,11,TSVAL,mid february
