path,attribute,value
/Encounter/1,id,Encounter_2
/Encounter/1,name,E2
/Encounter/1,name.Timing,TIM2
/Encounter/1,parent_entity,StudyDesign
/Encounter/1,parent_id,StudyDesign_1
/Encounter/1,parent_id.ScheduleTimeline,StudyDesign_2
/Encounter/1,parent_rel,encounters
/Encounter/1,scheduledAtId,Timing_2
/Encounter/3,id,Encounter_4
/Encounter/3,name,E4
/Encounter/3,name.Timing,
/Encounter/3,parent_entity,StudyDesign
/Encounter/3,parent_id,StudyDesign_1
/Encounter/3,parent_id.ScheduleTimeline,
/Encounter/3,parent_rel,encounters
/Encounter/3,scheduledAtId,Timing_xx
