STUDYID,DOMAIN,SPDEVID,DUSEQ,DUREFID,DUTESTCD,DUTEST,DUORRES,DUORRESU,DUSTAT,DUREASND
TOB07,DU,PUFFMASTER3K,1,NON-INTENSE REGIMEN,PUFFPROF,Puff Profile,SQUARE,,,REASON 1
TOB07,DU,PUFFMASTER3K,2,NON-INTENSE REGIMEN,PUFFDUR,Puff Duration,1.25,sec,,REASON 2
TOB07,DU,PUFFMASTER3K,3,NON-INTENSE REGIMEN,PUFFINT,Puff Interval,3,PUFF/min,,REASON 3
TOB07,DU,PUFFMASTER3K,4,NON-INTENSE REGIMEN,PUFFBLCK,Puff Block,25,%,,REASON 4
TOB07,DU,PUFFMASTER3K,5,NON-INTENSE REGIMEN,PUFFNUM,Number of Puffs,200,PUFF,Not Done,REASON 5
TOB07,DU,PUFFMASTER3K,6,NON-INTENSE REGIMEN,PUFFVOL,Puff Volume,10,mL,,REASON 6
TOB07,DU,PUFFMASTER3K,7,NON-INTENSE REGIMEN,PUFFRNG,Puff Range,100-200,,,REASON 7
TOB07,DU,PUFFMASTER3K,8,NON-INTENSE REGIMEN,PUFFPAUS,Puff Pause,60,s,Never,REASON 8
TOB07,DU,PUFFMASTER3K,9,NON-INTENSE REGIMEN,PUFFPINT,Puff Pause Interval,10,PUFF,,REASON 9
TOB07,DU,PUFFMASTER3K,1,INTENSE REGIMEN,PUFFPROF,Puff Profile,SQUARE,,,REASON 10
TOB07,DU,PUFFMASTER3K,2,INTENSE REGIMEN,PUFFDUR,Puff Duration,2.25,sec,,REASON 11
TOB07,DU,PUFFMASTER3K,3,INTENSE REGIMEN,PUFFINT,Puff Interval,3,PUFF/min,,REASON 12
TOB07,DU,PUFFMASTER3K,4,INTENSE REGIMEN,PUFFBLCK,Puff Block,30,%,,REASON 13
TOB07,DU,PUFFMASTER3K,5,INTENSE REGIMEN,PUFFNUM,Number of Puffs,100,PUFF,,REASON 14
TOB07,DU,PUFFMASTER3K,6,INTENSE REGIMEN,PUFFVOL,Puff Volume,20,mL,,REASON 15
TOB07,DU,PUFFMASTER3K,7,INTENSE REGIMEN,PUFFRNG,Puff Range,50-150,,,REASON 16
TOB07,DU,PUFFMASTER3K,8,INTENSE REGIMEN,PUFFPAUS,Puff Pause,30,s,,REASON 17
TOB07,DU,PUFFMASTER3K,9,INTENSE REGIMEN,PUFFPINT,Puff Pause Interval,10,PUFF,,REASON 18
