Dataset,Record,Variable,Value
TX.csv,1,SETCD,SET1
TX.csv,1,SET,"Control Group, Vehicle Control once daily "
TX.csv,2,SETCD,SET1
TX.csv,2,SET,"Control Group, Vehicle Control once daily "
TX.csv,3,SETCD,SET1
TX.csv,3,SET,"Control Group, Vehicle Control once daily "
TX.csv,4,SETCD,SET2
TX.csv,4,SET,"Control Group, Vehicle Control once daily "
TX.csv,5,SETCD,SET2
TX.csv,5,SET,"Low-Dose Group, 100 mg/kg Drug a once daily "
TX.csv,6,SETCD,SET1
TX.csv,6,SET,"Low-Dose Group, 100 mg/kg Drug a once daily "
