STUDYID,DOMAIN,SPTOBID,PDSEQ,PDPARMCD,PDPARM,PDVALTRG,PDVALMIN,PDVALU
TOB09,PD,VAPE-Z27,2,PUFCNT,Puff Count,300,300.01,
TOB09,PD,VAPE-Z27,3,CRTVOL,Cartridge Volume,0,1,mL
TOB09,PD,VAPE-Z27,4,HTELNUM,Number of Heating Elements,-1,0,
TOB09,PD,VAPE-Z27,5,HTELGTH,Heating Element Length,2,3,mm
TOB09,PD,VAPE-Z27,9,HTELCFG,Heating Element Configuration,SPIRAL,SPIRAL,
TOB09,PD,VAPE-Z27,10,BTVLTORG,Battery Voltage Operating Range,-4.6,-4.5,V
TOB09,PD,VAPE-Z27,11,BTCRTORG,Battery Current Operating Range,1601,1602,mAh
TOB09,PD,VAPE-Z27,21,PDUVOR,PDU Voltage Operating Range,3,3.2,V
TOB09,PD,VAPE-Z27,22,PDUCOR,PDU Current Operating Range,YES,NO,
TOB09,PD,VAPE-Z27,23,PDUTCTOF,PDU Temperature Cut-off,54.99,55,C
TOB09,PD,VAPE-Z27,24,AIRFLRT,Airflow Rate,699,700,L/min
