parent_entity,parent_id,parent_rel,rel_type,id,code,codeSystem,codeSystemVersion,decode,instanceType
InterventionalStudyDesign,InterventionalStudyDesign_1,intentTypes,definition,Code_2152,C15714,http://www.cdisc.org,2023-12-15,BASIC SCIENCE,Code
InterventionalStudyDesign,InterventionalStudyDesign_1,intentTypes,definition,Code_2153,C49654,http://www.cdisc.org,2023-12-15,CURE,Code
InterventionalStudyDesign,InterventionalStudyDesign_1,intentTypes,definition,Code_2154,C139174,http://www.cdisc.org,2023-12-15,DEVICE FEASIBILITY,Code
InterventionalStudyDesign,InterventionalStudyDesign_1,intentTypes,definition,Code_2155,C49653,http://www.cdisc.org,2023-12-15,DIAGNOSIS,Code
InterventionalStudyDesign,InterventionalStudyDesign_2,intentTypes,definition,Code_2156,C170629,http://www.cdisc.org,2024-03-29,DISEASE MODIFYING,Code
InterventionalStudyDesign,InterventionalStudyDesign_2,intentTypes,definition,Code_2157,C15245,http://www.cdisc.org,2024-03-29,HEALTH SERVICES RESEARCH,Code
InterventionalStudyDesign,InterventionalStudyDesign_2,intentTypes,definition,Code_2158,C49655,http://www.cdisc.org,2024-03-29,MITIGATION,Code
InterventionalStudyDesign,InterventionalStudyDesign_2,intentTypes,definition,Code_2159,C49657,http://www.cdisc.org,2024-03-29,PREVENTION,Code
InterventionalStudyDesign,InterventionalStudyDesign_3,intentTypes,definition,Code_2160,C71485,http://www.cdisc.org,2024-09-27,SCREENING,Code
InterventionalStudyDesign,InterventionalStudyDesign_3,intentTypes,definition,Code_2161,C71486,http://www.cdisc.org,2024-09-27,SUPPORTIVE CARE,Code
InterventionalStudyDesign,InterventionalStudyDesign_3,intentTypes,definition,Code_2162,C49656,http://www.cdisc.org,2024-09-27,TREATMENT,Code
InterventionalStudyDesign,InterventionalStudyDesign_3,intentTypes,definition,Code_2163,C0038X,http://www.cdisc.org,2024-09-27,Extension,Code
InterventionalStudyDesign,InterventionalStudyDesign_4,intentTypes,definition,Code_2152,C15714,http://www.cdisc.org,2025-09-26,Basic Research,Code
