path,attribute,value
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001027\negative\01\results\unit-test-coreid-DDF00248-negative-1.json,StudyDesign.id,InterventionalStudyDesign_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001027\negative\01\results\unit-test-coreid-DDF00248-negative-1.json,StudyDesign.name,Study Design 1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001027\negative\01\results\unit-test-coreid-DDF00248-negative-1.json,criterionItemId,EligibilityCriterionItem_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001027\negative\01\results\unit-test-coreid-DDF00248-negative-1.json,name,IN01
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001027\negative\01\results\unit-test-coreid-DDF00248-negative-1.json,StudyDesign.id,InterventionalStudyDesign_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001027\negative\01\results\unit-test-coreid-DDF00248-negative-1.json,StudyDesign.name,Study Design 1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001027\negative\01\results\unit-test-coreid-DDF00248-negative-1.json,criterionItemId,EligibilityCriterionItem_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001027\negative\01\results\unit-test-coreid-DDF00248-negative-1.json,name,IN02
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001027\negative\01\results\unit-test-coreid-DDF00248-negative-1.json,StudyDesign.id,InterventionalStudyDesign_2
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001027\negative\01\results\unit-test-coreid-DDF00248-negative-1.json,StudyDesign.name,Study Design 2
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001027\negative\01\results\unit-test-coreid-DDF00248-negative-1.json,criterionItemId,EligibilityCriterionItem_30
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001027\negative\01\results\unit-test-coreid-DDF00248-negative-1.json,name,EX21
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001027\negative\01\results\unit-test-coreid-DDF00248-negative-1.json,StudyDesign.id,InterventionalStudyDesign_2
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001027\negative\01\results\unit-test-coreid-DDF00248-negative-1.json,StudyDesign.name,Study Design 2
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001027\negative\01\results\unit-test-coreid-DDF00248-negative-1.json,criterionItemId,EligibilityCriterionItem_30
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001027\negative\01\results\unit-test-coreid-DDF00248-negative-1.json,name,EX22
