path,attribute,value
,parent_entity,StudyDesign
,biomedicalConceptIds,False
,name,Activity 1
,parent_id,StudyDesign_1
,id,Activity_1
,bcSurrogateIds,False
,parent_rel,activities
,bcCategoryIds,Not in dataset
,definedProcedures,Not in dataset
,parent_entity,StudyDesign
,biomedicalConceptIds,False
,name,Activity 2
,parent_id,StudyDesign_1
,id,Activity_2
,bcSurrogateIds,
,parent_rel,activities
,bcCategoryIds,Not in dataset
,definedProcedures,Not in dataset
,parent_entity,StudyDesign
,biomedicalConceptIds,
,name,Activity 3
,parent_id,StudyDesign_1
,id,Activity_3
,bcSurrogateIds,False
,parent_rel,activities
,bcCategoryIds,Not in dataset
,definedProcedures,Not in dataset
,parent_entity,StudyDesign
,biomedicalConceptIds,
,name,Activity 4
,parent_id,StudyDesign_1
,id,Activity_4
,bcSurrogateIds,
,parent_rel,activities
,bcCategoryIds,Not in dataset
,definedProcedures,Not in dataset
