parent_entity,parent_id,parent_rel,rel_type,id,name,label,description,notes,definedProcedures,bcSurrogateIds,bcCategoryIds,previousId,nextId,timelineId,instanceType
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_196,A196,,,FALSE,True,True,True,,Activity_200,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_200,A200,,,FALSE,True,True,False,Activity_196,Activity_204,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_204,A204,,,FALSE,True,True,,Activity_200,Activity_212,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_212,A212,,,FALSE,True,False,True,Activity_204,Activity_216,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_216,A216,,,FALSE,True,False,False,Activity_212,Activity_220,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_220,A220,,,FALSE,True,False,,Activity_216,Activity_228,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_228,A228,,,FALSE,True,,True,Activity_220,Activity_232,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_232,A232,,,FALSE,True,,False,Activity_228,Activity_236,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_236,A236,,,FALSE,True,,,Activity_232,Activity_452,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_452,A452,,,FALSE,False,True,True,Activity_236,Activity_456,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_456,A456,,,FALSE,False,True,False,Activity_452,Activity_460,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_460,A460,,,FALSE,False,True,,Activity_456,Activity_468,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_468,A468,,,FALSE,False,False,True,Activity_460,Activity_484,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_484,A484,,,FALSE,False,,True,Activity_468,Activity_708,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_708,A708,,,FALSE,,True,True,Activity_484,Activity_712,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_712,A712,,,FALSE,,True,False,Activity_708,Activity_716,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_716,A716,,,FALSE,,True,,Activity_712,Activity_724,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_724,A724,,,FALSE,,False,True,Activity_716,Activity_740,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_740,A740,,,FALSE,,,True,Activity_724,,,Activity
