path,attribute,value
,id.GovernanceDate,GovernanceDate_1
,parent_rel,versions
,type.code.GeographicScope,C68846
,type.code,C132352
,parent_entity,Study
,name,D_APPROVE
,versionIdentifier,2
,type.decode,Sponsor Approval Date
,parent_id,Study_1
,id,StudyVersion_1
,dateValue,2006-06-01
,type.decode.GeographicScope,Global
,code.standardCode.decode,Not in dataset
,code.standardCode.code,Not in dataset
,id.GovernanceDate,GovernanceDate_1
,parent_rel,versions
,type.code.GeographicScope,C68846
,type.code,C132352
,parent_entity,Study
,name,D_APPROVE
,versionIdentifier,2
,type.decode,Sponsor Approval Date
,parent_id,Study_1
,id,StudyVersion_1
,dateValue,2006-06-01
,type.decode.GeographicScope,GLOBAL
,code.standardCode.decode,Not in dataset
,code.standardCode.code,Not in dataset
,id.GovernanceDate,GovernanceDate_3
,parent_rel,versions
,type.code.GeographicScope,C68846
,type.code,C99903x2
,parent_entity,Study
,name,D_IDMCAPPR1
,versionIdentifier,2
,type.decode,IDMC Approval Date
,parent_id,Study_1
,id,StudyVersion_1
,dateValue,2006-06-15
,type.decode.GeographicScope,Global
,code.standardCode.decode,Not in dataset
,code.standardCode.code,Not in dataset
,id.GovernanceDate,GovernanceDate_4
,parent_rel,versions
,type.code.GeographicScope,C68846
,type.code,C99903x2
,parent_entity,Study
,name,D_IDMCAPPR2
,versionIdentifier,2
,type.decode,IDMC Approval Date
,parent_id,Study_1
,id,StudyVersion_1
,dateValue,2006-06-16
,type.decode.GeographicScope,Worldwide
,code.standardCode.decode,Not in dataset
,code.standardCode.code,Not in dataset
