Dataset,Record,Variable,Value
AG,1,AGPRESP,
AG,1,AGOCCUR,Y
AG,2,AGPRESP,
AG,2,AGOCCUR,N
AG,3,AGPRESP,
AG,3,AGOCCUR,Y
BE,1,BEPRESP,
BE,1,BEOCCUR,Y
BE,2,BEPRESP,
BE,2,BEOCCUR,N
BE,3,BEPRESP,
BE,3,BEOCCUR,Y
BE,4,BEPRESP,
BE,4,BEOCCUR,N
CE,1,CEPRESP,
CE,1,CEOCCUR,Y
CE,2,CEPRESP,
CE,2,CEOCCUR,Y
CE,3,CEPRESP,
CE,3,CEOCCUR,Y
CE,4,CEPRESP,
CE,4,CEOCCUR,N
CM,1,CMPRESP,
CM,1,CMOCCUR,Y
CM,2,CMPRESP,
CM,2,CMOCCUR,N
CM,3,CMPRESP,
CM,3,CMOCCUR,Y
EC,1,ECPRESP,
EC,1,ECOCCUR,Y
EC,2,ECPRESP,
EC,2,ECOCCUR,N
EC,3,ECPRESP,
EC,3,ECOCCUR,Y
HO,1,HOPRESP,
HO,1,HOOCCUR,Y
HO,2,HOPRESP,
HO,2,HOOCCUR,Y
HO,3,HOPRESP,
HO,3,HOOCCUR,Y
HO,4,HOPRESP,
HO,4,HOOCCUR,N
MH,1,MHPRESP,
MH,1,MHOCCUR,Y
MH,2,MHPRESP,
MH,2,MHOCCUR,Y
MH,3,MHPRESP,
MH,3,MHOCCUR,Y
MH,4,MHPRESP,
MH,4,MHOCCUR,N
ML,1,MLPRESP,
ML,1,MLOCCUR,Y
ML,2,MLPRESP,
ML,2,MLOCCUR,N
ML,3,MLPRESP,
ML,3,MLOCCUR,Y
PR,1,PRPRESP,
PR,1,PROCCUR,Y
PR,2,PRPRESP,
PR,2,PROCCUR,N
PR,3,PRPRESP,
PR,3,PROCCUR,Y
SU,1,SUPRESP,
SU,1,SUOCCUR,Y
SU,2,SUPRESP,
SU,2,SUOCCUR,N
SU,3,SUPRESP,
SU,3,SUOCCUR,N
