parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,defaultConditionId,epochId,timelineId,timelineExitId,instanceType,activityIds,encounterId
ScheduleTimeline,ScheduleTimeline_4,entryId,reference,ScheduledActivityInstance_9,SCREEN1,-,Screen One,ScheduledActivityInstance_10,StudyEpoch_1,,,ScheduledActivityInstance,True,Encounter_1
ScheduleTimeline,ScheduleTimeline_4,instances,definition,ScheduledActivityInstance_9,SCREEN1,-,Screen One,ScheduledActivityInstance_10,StudyEpoch_1,,,ScheduledActivityInstance,True,Encounter_1
ScheduleTimeline,ScheduleTimeline_4,instances,definition,ScheduledActivityInstance_10,SCREEN2,-,Screen Two,ScheduledActivityInstance_11,StudyEpoch_1,,,ScheduledActivityInstance,True,Encounter_2
ScheduleTimeline,ScheduleTimeline_4,instances,definition,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
ScheduleTimeline,ScheduleTimeline_4,instances,definition,ScheduledActivityInstance_12,WK2,-,Week 2,ScheduledActivityInstance_13,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_4
ScheduleTimeline,ScheduleTimeline_4,instances,definition,ScheduledActivityInstance_13,WK4,-,Week 4,ScheduledDecisionInstance_1,StudyEpoch_3,,,ScheduledActivityInstance,True,Encounter_5
ScheduleTimeline,ScheduleTimeline_4,instances,definition,ScheduledActivityInstance_14,WK6,-,Week 6,ScheduledActivityInstance_27,StudyEpoch_3,,,ScheduledActivityInstance,True,Encounter_6
ScheduleTimeline,ScheduleTimeline_4,instances,definition,ScheduledActivityInstance_27,END,,End,,StudyEpoch_4,,ScheduleTimelineExit_2,ScheduledActivityInstance,False,Encounter_5
Timing,Timing_1,relativeFromScheduledInstanceId,reference,ScheduledActivityInstance_9,SCREEN1,-,Screen One,ScheduledActivityInstance_10,StudyEpoch_1,,,ScheduledActivityInstance,True,Encounter_1
Timing,Timing_1,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_2,relativeFromScheduledInstanceId,reference,ScheduledActivityInstance_10,SCREEN2,-,Screen Two,ScheduledActivityInstance_11,StudyEpoch_1,,,ScheduledActivityInstance,True,Encounter_2
Timing,Timing_2,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_3,relativeFromScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_3,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_4,relativeFromScheduledInstanceId,reference,ScheduledActivityInstance_12,WK2,-,Week 2,ScheduledActivityInstance_13,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_4
Timing,Timing_4,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_5,relativeFromScheduledInstanceId,reference,ScheduledActivityInstance_13,WK4,-,Week 4,ScheduledActivityInstance_14,StudyEpoch_3,,,ScheduledActivityInstance,True,Encounter_5
Timing,Timing_5,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_6,relativeFromScheduledInstanceId,reference,ScheduledActivityInstance_13,WK4,-,Week 4,ScheduledActivityInstance_14,StudyEpoch_3,,,ScheduledActivityInstance,True,Encounter_5
Timing,Timing_7,relativeFromScheduledInstanceId,reference,ScheduledActivityInstance_14,WK6,-,Week 6,ScheduledActivityInstance_15,StudyEpoch_3,,,ScheduledActivityInstance,True,Encounter_6
Timing,Timing_7,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_8,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
ScheduledActivityInstance,ScheduledActivityInstance_9,defaultConditionId,reference,ScheduledActivityInstance_10,SCREEN2,-,Screen Two,ScheduledActivityInstance_11,StudyEpoch_1,,,ScheduledActivityInstance,True,Encounter_2
ScheduledActivityInstance,ScheduledActivityInstance_10,defaultConditionId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
ScheduledActivityInstance,ScheduledActivityInstance_11,defaultConditionId,reference,ScheduledActivityInstance_12,WK2,-,Week 2,ScheduledActivityInstance_13,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_4
ScheduledActivityInstance,ScheduledActivityInstance_12,defaultConditionId,reference,ScheduledActivityInstance_13,WK4,-,Week 4,ScheduledActivityInstance_14,StudyEpoch_3,,,ScheduledActivityInstance,True,Encounter_5
ScheduledActivityInstance,ScheduledActivityInstance_13,defaultConditionId,reference,ScheduledActivityInstance_14,WK6,-,Week 6,ScheduledActivityInstance_15,StudyEpoch_3,,,ScheduledActivityInstance,True,Encounter_6
ScheduledDecisionInstance,ScheduledDecisionInstance_1,defaultConditionId,reference,ScheduledActivityInstance_27,END,,End,,StudyEpoch_4,,ScheduleTimelineExit_2,ScheduledActivityInstance,False,Encounter_5
ScheduledActivityInstance,ScheduledActivityInstance_14,defaultConditionId,reference,ScheduledActivityInstance_27,END,,End,,StudyEpoch_4,,ScheduleTimelineExit_2,ScheduledActivityInstance,False,Encounter_5
ConditionAssignment,ConditionAssignment_1,conditionTarget,reference,ScheduledActivityInstance_14,WK6,-,Week 6,ScheduledActivityInstance_15,StudyEpoch_3,,,ScheduledActivityInstance,True,Encounter_6
Condition,Condition_1,contextIds,reference,ScheduledActivityInstance_9,SCREEN1,-,Screen One,ScheduledActivityInstance_10,StudyEpoch_1,,,ScheduledActivityInstance,True,Encounter_1
Condition,Condition_2,contextIds,reference,ScheduledActivityInstance_9,SCREEN1,-,Screen One,ScheduledActivityInstance_10,StudyEpoch_1,,,ScheduledActivityInstance,True,Encounter_1
