path,attribute,value
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,Issue(s),"[""The activity is a child but its previousId does not match the id of either its Parent Activity or any of the Parent Activity's other descendants.""]"
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,Parent Activity's id,Activity_37
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,Parent Activity's other descendants' ids,"['Activity_34', 'Activity_35', 'Activity_36']"
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,Previous Activity's childIds,[]
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,StudyDesign.id,InterventionalStudyDesign_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,StudyDesign.name,Study Design 1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,childIds,[]
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,name,Supine
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,nextId,Activity_34
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,previousId,Activity_32
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,Issue(s),"[""The activity is a child but its previousId does not match the id of either its Parent Activity or any of the Parent Activity's other descendants.""]"
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,Parent Activity's id,Activity_38
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,Parent Activity's other descendants' ids,null
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,Previous Activity's childIds,[]
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,StudyDesign.id,InterventionalStudyDesign_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,StudyDesign.name,Study Design 1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,childIds,"['Activity_33', 'Activity_34', 'Activity_35', 'Activity_36']"
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,name,Vital Signs Process
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,nextId,Activity_33
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,previousId,Activity_32
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,Issue(s),"['The activity has children but its nextId does not match any of its childIds.', ""The activity's id does not match any of the childIds of the Previous Activity.""]"
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,Parent Activity's id,null
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,Parent Activity's other descendants' ids,null
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,Previous Activity's childIds,"['Activity_33', 'Activity_34', 'Activity_35', 'Activity_36']"
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,StudyDesign.id,InterventionalStudyDesign_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,StudyDesign.name,Study Design 1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,childIds,['Activity_37']
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,name,LAST
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,nextId,null
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,previousId,Activity_37
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001066\negative\01\results\unit-test-coreid-DDF00161-negative-1.json,Issue(s),['The activity has children but its nextId does not match any of its childIds.']
