STUDYID,DOMAIN,TSSEQ,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
Sample001,TS,1,ADDON ,Added on to ,Y ,  ,C494888,CDISC ,41726
Sample001,TS,1,AGEMIN ,Planned ,P18Y ,  ,,ISO 8601 ,  
Sample001,TS,1,CURTRT ,Current ,GEMCITABINE ,  ,B76N6SBZ8R  ,UNII ,  
Sample001,TS,1,DCUTDESC ,Data Cutoff Description ,INTERIM ANALYSIS ,  ,,  ,  
Sample001,TS,1,DCUTDTC ,Data Cutoff Date ,41233,  ,,ISO 8601 ,  
Sample001,TS,1,DOSE ,Dose per Administrati on ,1000,  ,,  ,  
Sample001,TS,2,DOSE ,Dose per Administrati on ,240,  ,,  ,  
Sample001,TS,3,DOSE ,Dose per Administrati on ,340,  ,,  ,  
Sample001,TS,1,DOSU ,Dose Units ,mg/m2 ,  ,C67402 ,CDISC ,41726
Sample001,TS,1,HLTSUBJI ,Healthy ,N , ,C49487 ,CDISC ,41726
Sample001,TS,1,INDIC ,Trial ,Adenocarcinom a of pancreas ,  ,C494888,SNOMED ,  
Sample001,TS,1,INTMODEL ,Intervention Model ,CROSSOVER ,  ,C82637 ,CDISC ,41726
Sample001,TS,1,INTTYPE ,Intervention Type ,DRUG ,  ,C1909 ,CDISC ,41726
Sample001,TS,1,LENGTH ,Trial Length ,P30M ,  ,,ISO 8601 ,  
Sample001,TS,1,NARMS ,Planned ,5,  ,,  ,  
Sample001,TS,1,PCLAS ,Pharmacolo gical Class of Invest. ,Alkylating Drug ,  ,N0000175558 ,NDF-RT ,  
Sample001,TS,1,RANDOM ,Trial is ,Y ,  ,C49488 ,CDISC ,41726
Sample001,TS,1,SEXPOP ,Sex of ,BOTH ,  ,C49636 ,CDISC ,41726
Sample001,TS,1,SPONSOR ,Clinical ,ABC Pharma ,  ,999999999,DUNS ,  
Sample001,TS,1,SSTDTC ,Study Start Date ,40179,  ,,ISO 8601 ,  
Sample001,TS,1,STYPE ,Study Type ,INTERVENTIO NAL ,  ,C98388 ,CDISC ,41726
Sample001,TS,1,TBLIND ,Trial ,OPEN LABEL ,  ,C49659 ,CDISC ,41726
Sample001,TS,1,TCNTRL ,Control Type ,ACTIVE ,  ,C49649 ,CDISC ,41726
Sample001,TS,1,TDIGRP ,Diagnosis Group ,Adenocarcinom a of pancreas ,  ,700423003,SNOMED , 
Sample001,TS,1,TINDTP ,Trial ,TREATMENT ,  ,C49656 ,CDISC ,41726
Sample001,TS,1,TPHASE ,Trial Phase Classificatio n ,Phase II Trial ,  ,C15601 ,CDISC ,41726
Sample001,TS,1,TRT ,Investigatio nal Therapy or ,DRUG A ,  ,9B87ACB9B ,UNII ,  
Sample001,TS,1,TTYPE ,Trial Type ,EFFICACY ,  ,C98791 ,CDISC ,41726
Sample001,TS,2,TTYPE ,Trial Type ,TOLERABILITY ,  ,C49667 ,CDISC ,41726
Sample001,TS,3,TTYPE ,Trial Type ,PHARMACOKI,  ,C49666 ,CDISC ,41726
Sample001,TS,,,,NETIC ,,,,
Sample001,TS,4,TTYPE ,Trial Type ,SAFETY ,  ,C49663 ,CDISC ,41726
