path,attribute,value
,name,POP1
,plannedSex,
,parent_entity,StudyDesign
,plannedSex.decode,
,parent_id,StudyDesign_1
,parent_rel,population
,id,StudyDesignPopulation_1
,plannedSex.decode.StudyCohort,Not in dataset
,name.StudyCohort,Not in dataset
,plannedSex.StudyCohort,Not in dataset
,id.StudyCohort,Not in dataset
,name,POP4
,plannedSex,False
,parent_entity,StudyDesign
,plannedSex.decode,
,parent_id,StudyDesign_4
,parent_rel,population
,id,StudyDesignPopulation_4
,plannedSex.decode.StudyCohort,Not in dataset
,name.StudyCohort,Not in dataset
,plannedSex.StudyCohort,Not in dataset
,id.StudyCohort,Not in dataset
