Dataset,Record,Variable,Value
tx.xpt,4,TXPARMCD,ARMCD
tx.xpt,4,$txgroupsbysetcd,"['XXSPGRPCD', 'GRPLBL', 'ARMCD']"
tx.xpt,4,SETCD,SET2
tx.xpt,5,TXPARMCD,XXSPGRPCD
tx.xpt,5,$txgroupsbysetcd,"['XXSPGRPCD', 'GRPLBL', 'ARMCD']"
tx.xpt,5,SETCD,SET2
tx.xpt,6,TXPARMCD,GRPLBL
tx.xpt,6,$txgroupsbysetcd,"['XXSPGRPCD', 'GRPLBL', 'ARMCD']"
tx.xpt,6,SETCD,SET2
tx.xpt,7,TXPARMCD,ARMCD
tx.xpt,7,$txgroupsbysetcd,"['TCNTRL', 'ARMCD']"
tx.xpt,7,SETCD,SET3
tx.xpt,8,TXPARMCD,TCNTRL
tx.xpt,8,$txgroupsbysetcd,"['TCNTRL', 'ARMCD']"
tx.xpt,8,SETCD,SET3
