Dataset,Record,Variable,Value
TS,1,TSPARMCD,EXTTIND
TS,1,TSVAL,NI
TS,1,TSVALNF,null
TS,2,TSPARMCD,EXTTIND
TS,2,TSVAL,INV
TS,2,TSVALNF,null
TS,3,TSPARMCD,FCNTRY
TS,3,TSVAL,Other
TS,3,TSVALNF,null
TS,4,TSPARMCD,FCNTRY
TS,4,TSVAL,PINF
TS,4,TSVALNF,null
TS,5,TSPARMCD,FDATCHSP
TS,5,TSVAL,NINF
TS,5,TSVALNF,null
TS,6,TSPARMCD,HLTSUBJI
TS,6,TSVAL,UNC
TS,6,TSVALNF,null
TS,7,TSPARMCD,INDIC
TS,7,TSVAL,DER
TS,7,TSVALNF,null
TS,8,TSPARMCD,INTMODEL
TS,8,TSVAL,UNK
TS,8,TSVALNF,null
TS,9,TSPARMCD,INTTYPE
TS,9,TSVAL,ASKU
TS,9,TSVALNF,null
TS,10,TSPARMCD,LENGTH
TS,10,TSVAL,NAV
TS,10,TSVALNF,null
TS,11,TSPARMCD,NARMS
TS,11,TSVAL,Nask
TS,11,TSVALNF,null
TS,12,TSPARMCD,NCOHORT
TS,12,TSVAL,QS
TS,12,TSVALNF,null
TS,13,TSPARMCD,OBJPRIM
TS,13,TSVAL,TRC
TS,13,TSVALNF,null
TS,14,TSPARMCD,OBJSEC
TS,14,TSVAL,msk
TS,14,TSVALNF,null
TS,15,TSPARMCD,EXTTIND
TS,15,TSVAL,No INFORMATION
TS,15,TSVALNF,null
TS,16,TSPARMCD,FCNTRY
TS,16,TSVAL,Invalid
TS,16,TSVALNF,null
TS,17,TSPARMCD,FDATCHSP
TS,17,TSVAL,Other
TS,17,TSVALNF,null
TS,18,TSPARMCD,HLTSUBJI
TS,18,TSVAL,Positive infinity
TS,18,TSVALNF,null
TS,19,TSPARMCD,INDIC
TS,19,TSVAL,Negative infinity
TS,19,TSVALNF,null
TS,20,TSPARMCD,INTMODEL
TS,20,TSVAL,Unencoded
TS,20,TSVALNF,null
TS,21,TSPARMCD,INTTYPE
TS,21,TSVAL,Derived
TS,21,TSVALNF,null
TS,22,TSPARMCD,LENGTH
TS,22,TSVAL,Unknown
TS,22,TSVALNF,null
TS,23,TSPARMCD,NARMS
TS,23,TSVAL,Asked but unknown
TS,23,TSVALNF,null
TS,24,TSPARMCD,NCOHORT
TS,24,TSVAL,Temporarily unavailable
TS,24,TSVALNF,null
TS,25,TSPARMCD,OBJPRIM
TS,25,TSVAL,Not asked
TS,25,TSVALNF,null
TS,26,TSPARMCD,OBJPRIM
TS,26,TSVAL,SUFFICIENT QUANTITY
TS,26,TSVALNF,null
TS,27,TSPARMCD,OBJSEC
TS,27,TSVAL,Trace
TS,27,TSVALNF,null
TS,28,TSPARMCD,OBJSEC
TS,28,TSVAL,Masked
TS,28,TSVALNF,null
