Entity,Instance_ID,Path,Attribute,Value
Activity.xpt,Activity_470,,bcCategoryIds,False
Activity.xpt,Activity_470,,bcSurrogateIds,False
Activity.xpt,Activity_470,,biomedicalConceptIds,Not in dataset
Activity.xpt,Activity_470,,childIds,False
Activity.xpt,Activity_470,,definedProcedures,False
Activity.xpt,Activity_470,,id,Activity_470
Activity.xpt,Activity_470,,name,A470
Activity.xpt,Activity_470,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_470,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_470,,parent_rel,activities
Activity.xpt,Activity_470,,timelineId,Not in dataset
Activity.xpt,Activity_471,,bcCategoryIds,False
Activity.xpt,Activity_471,,bcSurrogateIds,False
Activity.xpt,Activity_471,,biomedicalConceptIds,Not in dataset
Activity.xpt,Activity_471,,childIds,null
Activity.xpt,Activity_471,,definedProcedures,False
Activity.xpt,Activity_471,,id,Activity_471
Activity.xpt,Activity_471,,name,A471
Activity.xpt,Activity_471,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_471,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_471,,parent_rel,activities
Activity.xpt,Activity_471,,timelineId,Not in dataset
Activity.xpt,Activity_474,,bcCategoryIds,null
Activity.xpt,Activity_474,,bcSurrogateIds,False
Activity.xpt,Activity_474,,biomedicalConceptIds,Not in dataset
Activity.xpt,Activity_474,,childIds,False
Activity.xpt,Activity_474,,definedProcedures,False
Activity.xpt,Activity_474,,id,Activity_474
Activity.xpt,Activity_474,,name,A474
Activity.xpt,Activity_474,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_474,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_474,,parent_rel,activities
Activity.xpt,Activity_474,,timelineId,Not in dataset
Activity.xpt,Activity_475,,bcCategoryIds,null
Activity.xpt,Activity_475,,bcSurrogateIds,False
Activity.xpt,Activity_475,,biomedicalConceptIds,Not in dataset
Activity.xpt,Activity_475,,childIds,null
Activity.xpt,Activity_475,,definedProcedures,False
Activity.xpt,Activity_475,,id,Activity_475
Activity.xpt,Activity_475,,name,A475
Activity.xpt,Activity_475,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_475,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_475,,parent_rel,activities
Activity.xpt,Activity_475,,timelineId,Not in dataset
Activity.xpt,Activity_486,,bcCategoryIds,False
Activity.xpt,Activity_486,,bcSurrogateIds,null
Activity.xpt,Activity_486,,biomedicalConceptIds,Not in dataset
Activity.xpt,Activity_486,,childIds,False
Activity.xpt,Activity_486,,definedProcedures,False
Activity.xpt,Activity_486,,id,Activity_486
Activity.xpt,Activity_486,,name,A486
Activity.xpt,Activity_486,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_486,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_486,,parent_rel,activities
Activity.xpt,Activity_486,,timelineId,Not in dataset
Activity.xpt,Activity_487,,bcCategoryIds,False
Activity.xpt,Activity_487,,bcSurrogateIds,null
Activity.xpt,Activity_487,,biomedicalConceptIds,Not in dataset
Activity.xpt,Activity_487,,childIds,null
Activity.xpt,Activity_487,,definedProcedures,False
Activity.xpt,Activity_487,,id,Activity_487
Activity.xpt,Activity_487,,name,A487
Activity.xpt,Activity_487,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_487,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_487,,parent_rel,activities
Activity.xpt,Activity_487,,timelineId,Not in dataset
Activity.xpt,Activity_490,,bcCategoryIds,null
Activity.xpt,Activity_490,,bcSurrogateIds,null
Activity.xpt,Activity_490,,biomedicalConceptIds,Not in dataset
Activity.xpt,Activity_490,,childIds,False
Activity.xpt,Activity_490,,definedProcedures,False
Activity.xpt,Activity_490,,id,Activity_490
Activity.xpt,Activity_490,,name,A490
Activity.xpt,Activity_490,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_490,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_490,,parent_rel,activities
Activity.xpt,Activity_490,,timelineId,Not in dataset
