parent_entity,parent_id,parent_rel,rel_type,id,name,label,description,notes,bcSurrogateIds,bcCategoryIds,childIds,previousId,nextId,timelineId,instanceType
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_961,A961,,,FALSE,True,True,True,,Activity_962,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_962,A962,,,FALSE,True,True,False,Activity_961,Activity_963,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_963,A963,,,FALSE,True,True,,Activity_962,Activity_965,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_965,A965,,,FALSE,True,False,True,Activity_963,Activity_966,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_966,A966,,,FALSE,True,False,False,Activity_965,Activity_967,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_967,A967,,,FALSE,True,False,,Activity_966,Activity_969,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_969,A969,,,FALSE,True,,True,Activity_967,Activity_970,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_970,A970,,,FALSE,True,,False,Activity_969,Activity_971,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_971,A971,,,FALSE,True,,,Activity_970,Activity_977,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_977,A977,,,FALSE,False,True,True,Activity_971,Activity_978,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_978,A978,,,FALSE,False,True,False,Activity_977,Activity_979,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_979,A979,,,FALSE,False,True,,Activity_978,Activity_981,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_981,A981,,,FALSE,False,False,True,Activity_979,Activity_985,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_985,A985,,,FALSE,False,,True,Activity_981,Activity_993,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_993,A993,,,FALSE,,True,True,Activity_985,Activity_994,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_994,A994,,,FALSE,,True,False,Activity_993,Activity_995,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_995,A995,,,FALSE,,True,,Activity_994,Activity_997,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_997,A997,,,FALSE,,False,True,Activity_995,Activity_1001,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_1001,A1001,,,FALSE,,,True,Activity_997,,,Activity
