parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,transitionEndRule.id,transitionEndRule.name,transitionEndRule.description,transitionEndRule.label,transitionEndRule.text,studyInterventionIds,transitionStartRule.id,transitionStartRule.name,transitionStartRule.description,transitionStartRule.label,transitionStartRule.text
StudyDesign,StudyDesign_1,studyElements,definition,StudyElement_1,Screening,Screening Element,,TransitionRule_8,Completion of all screening activities and no more than 2 weeks from informed consent,,,,,TransitionRule_7,Informed consent,,,Informed consent
StudyDesign,StudyDesign_1,studyElements,definition,StudyElement_2,Treatment 1,Treatment Element 1,,,,,,,,TransitionRule_9,Administration of first dose,,,Administration of first dose
StudyDesign,StudyDesign_1,studyElements,definition,StudyElement_3,Treatment 2,Treatment Element 2,,,,,,,,TransitionRule_10,Administration of first dose,,,Administration of first dose
StudyDesign,StudyDesign_1,studyElements,definition,StudyElement_4,Wash Out,Wash Out Element,,,,,,,,TransitionRule_11,1 week after administration of last dose,,,1 week after administration of last dose
StudyDesign,StudyDesign_1,studyElements,definition,StudyElement_5,Follow Up,Follow Up Element,,TransitionRule_17,Completion of all specified followup activities (which vary on a patient-by-patient basis),,,,,TransitionRule_14,End of last scheduled visit on study (including early termination),,,End of last scheduled visit on study (including early termination)
StudyDesign,StudyDesign_1,studyElements,definition,StudyElement_6,Follow Up,A Duplicate Name,,TransitionRule_18,Completion of all specified followup activities (which vary on a patient-by-patient basis),,,,,TransitionRule_15,End of last scheduled visit on study (including early termination),,,End of last scheduled visit on study (including early termination)
StudyDesign,StudyDesign_1,studyElements,definition,StudyElement_7,A Duplicate Label,Wash Out Element,,,,,,,,TransitionRule_16,1 week after administration of last dose,,,1 week after administration of last dose
StudyCell,StudyCell_1,elementIds,reference,StudyElement_1,Screening,Screening Element,,TransitionRule_8,Completion of all screening activities and no more than 2 weeks from informed consent,,,,,TransitionRule_7,Informed consent,,,Informed consent
StudyCell,StudyCell_2,elementIds,reference,StudyElement_2,Treatment 1,Treatment Element 1,,,,,,,,TransitionRule_9,Administration of first dose,,,Administration of first dose
StudyCell,StudyCell_3,elementIds,reference,StudyElement_3,Treatment 2,Treatment Element 2,,,,,,,,TransitionRule_10,Administration of first dose,,,Administration of first dose
StudyCell,StudyCell_4,elementIds,reference,StudyElement_4,Wash Out,Wash Out Element,,,,,,,,TransitionRule_11,1 week after administration of last dose,,,1 week after administration of last dose
StudyCell,StudyCell_5,elementIds,reference,StudyElement_5,Follow Up,Follow Up Element,,TransitionRule_17,Completion of all specified followup activities (which vary on a patient-by-patient basis),,,,,TransitionRule_14,End of last scheduled visit on study (including early termination),,,End of last scheduled visit on study (including early termination)
StudyCell,StudyCell_6,elementIds,reference,StudyElement_6,Follow Up,A Duplicate Name,,TransitionRule_18,Completion of all specified followup activities (which vary on a patient-by-patient basis),,,,,TransitionRule_15,End of last scheduled visit on study (including early termination),,,End of last scheduled visit on study (including early termination)
StudyCell,StudyCell_7,elementIds,reference,StudyElement_7,A Duplicate Label,Wash Out Element,,,,,,,,TransitionRule_16,1 week after administration of last dose,,,1 week after administration of last dose
