STUDYID,DOMAIN,SPTOBID,TOSEQ,TOPARMCD,TOPARM,TOCAT,TOSCAT,TOVAL,TOVALU
CDISCPILOT01,TO,CIG01a,1,TBPRDCAT,Tobacco Product Category,NEW PRODUCT,PRODUCT IDENTIFIER,Cigarettes,
CDISCPILOT01,TO,CIG01a,2,TBPRSCAT,Tobacco Product Subcategory,NEW PRODUCT,PRODUCT IDENTIFIER,Filtered,
CDISCPILOT01,TO,CIG01a,3,MANUF,Manufacturer,NEW PRODUCT,PRODUCT IDENTIFIER,Joes Cigs USA,
CDISCPILOT01,TO,CIG01a,4,TRADENAM,Trade Name,NEW PRODUCT,PRODUCT IDENTIFIER,Treetop Menthol King Size,
CDISCPILOT01,TO,CIG01a,5,PACKTYP,Package Type,NEW PRODUCT,PRODUCT DESCRIPTOR,HARD PACK,
CDISCPILOT01,TO,CIG01a,6,PRDQUAN,Product Quantity,NEW PRODUCT,PRODUCT DESCRIPTOR,20,CIGARETTE
CDISCPILOT01,TO,CIG01a,7,LENGTH,Length,NEW PRODUCT,PRODUCT DESCRIPTOR,86,mm
CDISCPILOT01,TO,CIG01a,8,CIRCUMF,Circumference,NEW PRODUCT,PRODUCT DESCRIPTOR,26,mm
CDISCPILOT01,TO,CIG01a,9,VENTLTOT,Total Ventilation,NEW PRODUCT,PRODUCT DESCRIPTOR,10,%
CDISCPILOT01,TO,CIG01a,10,CHARFLAV,Characterizing Flavor,NEW PRODUCT,PRODUCT DESCRIPTOR,MENTHOL,
