parent_entity,parent_id,parent_rel,rel_type,id,name,label,description,notes,definedProcedures,biomedicalConceptIds,bcSurrogateIds,previousId,nextId,timelineId,instanceType
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_16,A16,,,FALSE,True,True,True,,Activity_32,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_32,A32,,,FALSE,True,True,False,Activity_16,Activity_48,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_48,A48,,,FALSE,True,True,,Activity_32,Activity_80,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_80,A80,,,FALSE,True,False,True,Activity_48,Activity_96,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_96,A96,,,FALSE,True,False,False,Activity_80,Activity_112,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_112,A112,,,FALSE,True,False,,Activity_96,Activity_144,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_144,A144,,,FALSE,True,,True,Activity_112,Activity_160,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_160,A160,,,FALSE,True,,False,Activity_144,Activity_176,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_176,A176,,,FALSE,True,,,Activity_160,Activity_272,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_272,A272,,,FALSE,False,True,True,Activity_176,Activity_288,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_288,A288,,,FALSE,False,True,False,Activity_272,Activity_304,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_304,A304,,,FALSE,False,True,,Activity_288,Activity_336,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_336,A336,,,FALSE,False,False,True,Activity_304,Activity_400,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_400,A400,,,FALSE,False,,True,Activity_336,Activity_528,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_528,A528,,,FALSE,,True,True,Activity_400,Activity_544,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_544,A544,,,FALSE,,True,False,Activity_528,Activity_560,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_560,A560,,,FALSE,,True,,Activity_544,Activity_592,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_592,A592,,,FALSE,,False,True,Activity_560,Activity_656,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_656,A656,,,FALSE,,,True,Activity_592,,,Activity
