STUDYID,DOMAIN,TSSEQ,TSGRPID,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
CDISCPILOT01,TS,1,,INTMODEL,Actual Number of Subjects,nonempty,,,ISO 21090,2011-02-08 00:00:00
CDISCPILOT01,TS,1,,INTTYPE,Adaptive Design,NA,,C49487,CDISC,2021-03-26 00:00:00
CDISCPILOT01,TS,1,,PCLASS,Added on to Existing Treatments,,,C49487,CDISC,2021-03-26 00:00:00
CDISCPILOT01,TS,1,,STYPE,Planned Maximum Age of Subjects,INTERVENTIONAL,,,ISO 8601,
CDISCPILOT01,TS,1,,AGE,Data Cutoff Description,46,,,,
CDISCPILOT01,TS,1,,DCUTDTC,Data Cutoff Date,2021-12-02 00:00:00,,,ISO 8601,
CDISCPILOT01,TS,1,KARX,DOSE,Dose per Administration,25,,,,
CDISCPILOT01,TS,2,KARX,DOSE,Dose per Administration,,,,,
CDISCPILOT01,TS,3,KART,DOSE,Dose per Administration,10,,,,
CDISCPILOT01,TS,4,KART,DOSE,Dose per Administration,20,,,,
CDISCPILOT01,TS,1,,DOSFRM,Dose Form,CAPSULE,,C25158,CDISC,2021-03-26 00:00:00
