STUDYID,DOMAIN,SPTOBID,IGDCMPID,PDSEQ,PDPARMCD,PDPARM,PDVALTRG,PDVALMIN,PDVALMAX,PDVALU
TOB07,PD,CIG01a,,1,LENGTH,Length,84,83.5,84.5,mm
TOB07,PD,CIG01a,,2,CIRCUMF,Circumference,24.8,24.6,25,mm
TOB07,PD,CIG01a,,3,TBFLMASS,Tobacco Filter Mass,783,753,814,mg
TOB07,PD,VAPE-Z27,,1,DRWRST,Draw Resistance,90,80,120,mm H2O
TOB07,PD,VAPE-Z27,,2,PUFCNT,Puff Count,300,290,310,
TOB07,PD,VAPE-Z27,,3,CRTVOL,Cartridge Volume,3,1,5,mL
TOB07,PD,VAPE-Z27,,4,HTELNUM,Number of Heating Elements,1,1,1,
TOB07,PD,VAPE-Z27,,5,HTELGTH,Heating Element Length,3,2.7,3.3,mm
TOB07,PD,VAPE-Z27,,6,HTEDIAM,Heating Element Diameter,3,2.9,3.2,mm
TOB07,PD,VAPE-Z27,,7,HTELRST,Heating Element Resistance,0.75,0.25,1.5,ohm
TOB07,PD,VAPE-Z27,,8,HTELRNG,Heating Element Range,175,100,250,C
TOB07,PD,VAPE-Z27,,9,HTELCFG,Heating Element Configuration,SPIRAL,SPIRAL,SPIRAL,
