Entity,Instance_ID,Path,Attribute,Value
Characteristic,Characteristic_2,/study/versions/0/studyDesigns/1/population/cohorts/1/characteristics/0,Issue,dictionaryId is missing
Characteristic,Characteristic_2,/study/versions/0/studyDesigns/1/population/cohorts/1/characteristics/0,Parameter name,min_age
Characteristic,Characteristic_2,/study/versions/0/studyDesigns/1/population/cohorts/1/characteristics/0,Parameter reference,"<usdm:tag name=""min_age""/>"
Characteristic,Characteristic_2,/study/versions/0/studyDesigns/1/population/cohorts/1/characteristics/0,SyntaxTemplateDictionary.name,null
Characteristic,Characteristic_2,/study/versions/0/studyDesigns/1/population/cohorts/1/characteristics/0,dictionaryId,null
Characteristic,Characteristic_2,/study/versions/0/studyDesigns/1/population/cohorts/1/characteristics/0,name,CHAR2
Condition,Condition_4,/study/versions/0/studyDesigns/1/conditions/1,Issue,dictionaryId is invalid
Condition,Condition_4,/study/versions/0/studyDesigns/1/conditions/1,Parameter name,qrs_vis
Condition,Condition_4,/study/versions/0/studyDesigns/1/conditions/1,Parameter reference,"<usdm:tag name=""qrs_vis""/>"
Condition,Condition_4,/study/versions/0/studyDesigns/1/conditions/1,SyntaxTemplateDictionary.name,null
Condition,Condition_4,/study/versions/0/studyDesigns/1/conditions/1,dictionaryId,SyntaxTemplateDictionary_xx
Condition,Condition_4,/study/versions/0/studyDesigns/1/conditions/1,name,COND2
EligibilityCriterion,EligibilityCriterion_32,/study/versions/0/studyDesigns/1/population/criteria/0,Issue,dictionaryId is missing
EligibilityCriterion,EligibilityCriterion_32,/study/versions/0/studyDesigns/1/population/criteria/0,Parameter name,min_age
EligibilityCriterion,EligibilityCriterion_32,/study/versions/0/studyDesigns/1/population/criteria/0,Parameter reference,"<usdm:tag name=""min_age""/>"
EligibilityCriterion,EligibilityCriterion_32,/study/versions/0/studyDesigns/1/population/criteria/0,SyntaxTemplateDictionary.name,null
EligibilityCriterion,EligibilityCriterion_32,/study/versions/0/studyDesigns/1/population/criteria/0,dictionaryId,null
EligibilityCriterion,EligibilityCriterion_32,/study/versions/0/studyDesigns/1/population/criteria/0,name,IN01
Endpoint,Endpoint_13,/study/versions/0/studyDesigns/1/objectives/0/endpoints/1,Issue,Parameter not in dictionary
Endpoint,Endpoint_13,/study/versions/0/studyDesigns/1/objectives/0/endpoints/1,Parameter name,cibic_vis
Endpoint,Endpoint_13,/study/versions/0/studyDesigns/1/objectives/0/endpoints/1,Parameter reference,"<usdm:tag name=""cibic_vis""></usdm:tag>"
Endpoint,Endpoint_13,/study/versions/0/studyDesigns/1/objectives/0/endpoints/1,SyntaxTemplateDictionary.name,AS_Dict
Endpoint,Endpoint_13,/study/versions/0/studyDesigns/1/objectives/0/endpoints/1,dictionaryId,SyntaxTemplateDictionary_4
Endpoint,Endpoint_13,/study/versions/0/studyDesigns/1/objectives/0/endpoints/1,name,END2
Objective,Objective_7,/study/versions/0/studyDesigns/1/objectives/0,Issue,Parameter not in dictionary
Objective,Objective_7,/study/versions/0/studyDesigns/1/objectives/0,Parameter name,erroralpha
Objective,Objective_7,/study/versions/0/studyDesigns/1/objectives/0,Parameter reference,"<usdm:tag name=""erroralpha""/>"
Objective,Objective_7,/study/versions/0/studyDesigns/1/objectives/0,SyntaxTemplateDictionary.name,IE_Dict
Objective,Objective_7,/study/versions/0/studyDesigns/1/objectives/0,dictionaryId,SyntaxTemplateDictionary_3
Objective,Objective_7,/study/versions/0/studyDesigns/1/objectives/0,name,OBJ1
